var_id	tag	cdx_name	array	notes
0x0000	AAS		g1	INACT; value=40
0x0001	ABS		g1	INACT; value=64
0x0002	ADU		g1	value=192
0x0003	AEU		g1	value=192
0x0004	AHD		g1	INACT; value=64
0x0005	ASN		g1	INACT; value=64
0x0006	AUI		g1	INACT; value=64
0x0007	SP3		g1	value=25
0x0008	AVU		g1	value=150
0x0009	IAR		g1	value=192
0x000A	BTV	BluetoothApplicationIdentifier	g1	value=32
0x000B	BBV	BluetoothBootloaderIdentifier	g1	value=32
0x000C	BA0		g1	value=13
0x000D	BP0		g1	value=65
0x000E	BFI		g1	value=13
0x000F	BMF		g1	value=13
0x0010	BTN	BluetoothName	g1	value=20
0x0011	BPK		g1	value=4
0x0012	BPM	BluetoothProductModel	g1	value=50
0x0013	BPP	BluetoothProductProvider	g1	value=50
0x0014	BID	BootloaderIdentifier	g1	value=64
0x0015	CMD	CamlData	g1	value=2000
0x0016	CDP	CellularDataPreamble	g1	value=64
0x0017	CCD	SIMID	g1	value=20
0x0018	CIE	IMEI	g1	value=15
0x0019	CIM	IMSI	g1	value=15
0x001A	CPM	CellularProductModel	g1	value=50
0x001B	CPP	CellularProductProvider	g1	value=50
0x001C	CSI	CellularApplicationIdentifier	g1	value=100
0x001D	CLA	AccessPointName	g1	value=128
0x001E	CLU	ServiceHost	g1	value=192
0x001F	PUR		g1	value=192
0x0020	CID	ConfigurationIdentifier	g1	value=64
0x0021	CP3		g1	value=25
0x0022	CP1		g1	value=12
0x0023	DAT		g1	value=32
0x0024	DVT		g1	value=32
0x0025	DEJ		g1	value=32
0x0026	DEH		g1	value=32
0x0027	IAT		g1	value=32
0x0028	DCE		g1	value=32
0x0029	DTC		g1	value=32
0x002A	DPD		g1	value=32
0x002B	DAA		g1	value=32
0x002C	DEF		g1	value=32
0x002D	DEL		g1	value=32
0x002E	DER		g1	value=32
0x002F	DOT		g1	value=32
0x0030	DTT		g1	value=32
0x0031	URI		g1	value=192
0x0032	DGE		g1	value=32
0x0033	IPT		g1	value=32
0x0034	MLT		g1	value=32
0x0035	DMT		g1	value=32
0x0036	MPT		g1	value=32
0x0037	DMF		g1	value=32
0x0038	DRT		g1	value=32
0x0039	DCT		g1	value=32
0x003A	DSF		g1	value=32
0x003B	DDT		g1	value=32
0x003C	SVE		g1	value=32
0x003D	DNF		g1	value=32
0x003E	DNS		g1	value=32
0x003F	DHT		g1	value=32
0x0040	DHE		g1	value=32
0x0041	DEV		g1	value=32
0x0042	DET		g1	value=32
0x0043	DTF		g1	value=32
0x0044	DPT		g1	value=32
0x0045	DUT		g1	value=32
0x0046	DMV	DataModelVersionIdentifier	g1	value=32
0x0047	UDI	FdaUniqueDeviceIdentifier	g1	value=86
0x0048	FGT		g1	value=16
0x0049	FSN		g1	value=16
0x004A	AAG		g1	value=30
0x004B	GCD		g1	value=29
0x004C	ANA		g1	value=1
0x004D	GSD		g1	value=32
0x004E	HPI		g1	value=32
0x004F	HSN		g1	value=18
0x0050	HVI		g1	value=16
0x0051	IUR		g1	value=192
0x0052	LAB		g1	value=64
0x0053	LAI		g1	value=64
0x0054	LFB		g1	value=64
0x0055	LFS		g1	value=64
0x0056	LCT		g1	value=128
0x0057	LUR		g1	value=192
0x0058	MD0		g1	value=1368
0x0059	MD1		g1	value=1368
0x005A	MSM		g1	value=30
0x005B	MUR		g1	value=192
0x005C	QCD		g1	value=8
0x005D	QCO		g1	value=16
0x005E	QCV		g1	value=8
0x005F	OAA		g1	value=13
0x0060	OAN		g1	value=30
0x0061	ON0		g1	value=30
0x0062	ON1		g1	value=30
0x0063	ON2		g1	value=30
0x0064	ON3		g1	value=30
0x0065	ON4		g1	value=30
0x0066	OSN		g1	value=30
0x0067	PCB	HardwareIdentifier	g1	value=50
0x0068	MAD	ApplicationData	g1	value=1024
0x0069	PCD	ProductCode	g1	value=10
0x006A	PGI	ProductGeographicIdentifier	g1	value=60
0x006B	PNA	ProductName	g1	value=32
0x006C	PVI	ProfileVariantIdentifier	g1	value=36
0x006D	RUR		g1	value=192
0x006E	SRN	SerialNumber	g1	value=18
0x006F	SVC		g1	value=3
0x0070	SID	ApplicationIdentifier	g1	value=64
0x0071	SP1		g1	value=12
0x0072	GUD	UniversalIdentifier	g1	value=36
0x0073	ZRG		g1	value=16
0x0074	ABH	AmbientHumidity-Estimated	g2	0..100 step 0.1
0x0075	FLW	RawFlow	g2	-30000..30000 step 1
0x0076	PRS	AdcPressure	g2	0..4095 step 1
0x0077	ATH		g2	0..4095 step 1
0x0078	ATL		g2	0..4095 step 1
0x0079	ATM		g2	0..4095 step 1
0x007A	HMA	HerAuto-MaxPressure	g2	active_vids=3; 4..20 step 0.2; modes=HerAuto
0x007B	HMI	HerAuto-MinPressure	g2	active_vids=3; 4..20 step 0.2; modes=HerAuto
0x007C	HSP	HerAuto-StartPressure	g2	active_vids=3; 4..20 step 0.2
0x007D	AHI	Summary-ApneaHypopneaIndex	g2	0..240 step 0.1
0x007E	AHC		g2	0..4095 step 1
0x007F	ASC	Summary-ApneaIndex	g2	0..240 step 0.1
0x0080	TAE		g2	-2147483647..2147483647 step 1
0x0081	AAU		g2	0..2147483647 step 1
0x0082	ADI		g2	1..64 step 1
0x0083	AEI		g2	1..64 step 1
0x0084	AIU		g2	0..2147483647 step 1
0x0085	ACV		g2	0..2147483647 step 1
0x0086	ESR		g2	0..2147483647 step 1
0x0087	AVC		g2	0..2147483647 step 1
0x0088	ATF		g2	0..2147483647 step 1
0x0089	LPR		g2	-10..45 step 0.02
0x008A	LPF		g2	-10..45 step 0.02
0x008B	AV9		g2	INACT; 0..30 step 0.125
0x008C	AVA		g2	INACT; 0..30 step 0.125
0x008D	AVM		g2	INACT; 0..30 step 0.125
0x008E	AHR	RawAmbHumidity	g2	0..65535 step 1
0x008F	ALS	AmbientLight	g2	0..120000 step 1
0x0090	APS		g2	-2147483647..2147483647 step 1
0x0091	ATR	RawAmbTemperature	g2	0..65535 step 1
0x0092	AVS		g2	0..2147483647 step 1
0x0093	APC		g2	0..3000 step 1
0x0094	ATC		g2	0..3000 step 1
0x0095	DUR		g2	0..120 step 1
0x0096	APP		g2	0..20 step 0.2
0x0097	AP5	ApneaTreatmentPressure-50hz	g2	0..20 step 0.2
0x0098	APV	ApneaAlarmThreshold	g2	INACT; 10..60 step 1
0x0099	AID		g2	0..2147483647 step 1
0x009A	ASP		g2	-10..45 step 0.2
0x009B	APT		g2	0..2147483647 step 1
0x009C	XD1	ASVAuto-MaxExpiratoryPressure	g2	active_vids=12; 4..15 step 0.2; modes=ASVAuto
0x009D	XD3	ASVAuto-MaxPressureSupport	g2	active_vids=12; 5..20 step 0.2; modes=ASVAuto
0x009E	XD2	ASVAuto-MinExpiratoryPressure	g2	active_vids=12; 4..15 step 0.2; modes=ASVAuto
0x009F	XD4	ASVAuto-MinPressureSupport	g2	active_vids=12; 0..6 step 0.2; modes=ASVAuto
0x00A0	XD0	ASVAuto-StartPressure	g2	active_vids=12; 4..15 step 0.2
0x00A1	XC2	ASV-MaxPressureSupport	g2	active_vids=12; 5..20 step 0.2; modes=ASV
0x00A2	XC3	ASV-MinPressureSupport	g2	active_vids=12; 0..6 step 0.2; modes=ASV
0x00A3	XC1	ASV-TargetExpiratoryPressure	g2	active_vids=12; 4..15 step 0.2; modes=ASV
0x00A4	XC0	ASV-StartPressure	g2	active_vids=12; 4..15 step 0.2
0x00A5	IAI		g2	1..64 step 1
0x00A6	NSE		g2	0..4095 step 1
0x00A7	ATP		g2	4..25 step 0.2
0x00A8	AT5	AutoSetTreatmentPressure-50hz	g2	4..25 step 0.2
0x00A9	LKP		g2	0..2 step 0.02
0x00AA	AAH		g2	0..100 step 0.1
0x00AB	AUM	Summary-AmbientHumidity-50	g2	0..100 step 0.1
0x00AC	AAP		g2	INACT; 700..1100 step 1
0x00AD	ABP	HeatedTubePWMMinuteAverage	g2	0..100 step 0.1
0x00AE	AHM	Summary-HeatedTubePower-50	g2	0..100 step 0.1
0x00AF	HTA	HeatedTubeOutletTemperatureMinuteAverage	g2	0..40 step 0.1
0x00B0	HTE	Summary-HeatedTubeTemperature-50	g2	0..40 step 0.1
0x00B1	HHT	HumidifierPlateTemperatureMinuteAverage	g2	0..100 step 0.1
0x00B2	HHE	Summary-HumidifierTemperature-50	g2	0..100 step 0.1
0x00B3	AHP	HumidifierPWMMinuteAverage	g2	0..100 step 0.1
0x00B4	APM	Summary-HumidifierPower-50	g2	0..100 step 0.1
0x00B5	AIP	InspiratoryPressure-OneMinute	g2	0..50 step 0.2
0x00B6	AFL		g2	-4..4 step 0.01
0x00B7	BFM	Summary-BlowerFlow-50	g2	-4..4 step 0.01
0x00B8	BPA	BlowerPressure-OneMinute	g2	-10..45 step 0.02
0x00B9	AEP		g2	0..30 step 0.2
0x00BA	HRV		g2	0..300 step 1
0x00BB	AIE		g2	0..400 step 1
0x00BC	MAP	MaskPressure-OneMinute	g2	0..40 step 0.2
0x00BD	RFA		g2	-2..3 step 0.01
0x00BE	RFM	Summary-RespiratoryFlow-5	g2	-2..3 step 0.01
0x00BF	R95	Summary-RespiratoryFlow-95	g2	-2..3 step 0.01
0x00C0	SAV		g2	0..100 step 1
0x00C1	ATI		g2	0..4 step 1
0x00C2	AIC		g2	0..4095 step 1
0x00C3	EX5		g2	0..10 step 1
0x00C4	IN5		g2	0..10 step 1; modes=Spont,ST,Timed,VAuto,iVAPS,PAC
0x00C5	BIP		g2	0..50 step 0.2
0x00C6	BML		g2	0..2 step 0.02
0x00C7	BMR		g2	0..40 step 0.2
0x00C8	BRF		g2	-2..3 step 0.01
0x00C9	MKI	InspiratoryPressure-TwoSecond	g2	0..50 step 0.2
0x00CA	BFT	BlowerFlow-100hz	g2	-4..4 step 0.01
0x00CB	BFL		g2	-4..4 step 0.01
0x00CC	HFL		g2	-4..4 step 0.01
0x00CD	BFF		g2	-4..4 step 0.01
0x00CE	BPT	BlowerPressure-100hz	g2	-10..45 step 0.02
